HMDB_ID;CPD_NAME;KEGG_ID;MOL_WEIGHT;CHEM_FORM
HMDB0086777;CL(i-12:0/a-13:0/i-17:0/i-24:0)[rac];;1381.924;C75H146O17P2
HMDB0086778;CL(i-12:0/a-13:0/i-17:0/a-25:0)[rac];;1395.951;C76H148O17P2
HMDB0086779;CL(i-12:0/a-13:0/a-17:0/a-25:0)[rac];;1395.951;C76H148O17P2
HMDB0086780;CL(i-12:0/i-13:0/a-17:0/a-25:0)[rac];;1395.951;C76H148O17P2
HMDB0086781;CL(i-12:0/i-13:0/i-17:0/a-25:0)[rac];;1395.951;C76H148O17P2
HMDB0086782;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-12:0)[rac];;1223.595;C64H120O17P2
HMDB0086783;CL(i-12:0/i-13:0/i-18:0/i-12:0);;1227.627;C64H124O17P2
HMDB0086784;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-12:0);;1223.595;C64H120O17P2
HMDB0086785;CL(i-12:0/a-13:0/i-18:0/i-12:0)[rac];;1227.627;C64H124O17P2
HMDB0086786;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-13:0)[rac];;1237.622;C65H122O17P2
HMDB0086787;CL(i-12:0/a-13:0/i-18:0/a-13:0)[rac];;1241.654;C65H126O17P2
HMDB0086788;CL(i-12:0/i-13:0/i-18:0/i-13:0);;1241.654;C65H126O17P2
HMDB0086789;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-13:0);;1237.622;C65H122O17P2
HMDB0086790;CL(i-12:0/i-13:0/18:2(9Z,11Z)/a-13:0)[rac];;1237.622;C65H122O17P2
HMDB0086791;CL(i-12:0/a-13:0/i-18:0/i-13:0)[rac];;1241.654;C65H126O17P2
HMDB0086792;CL(i-12:0/a-13:0/18:2(9Z,11Z)/a-13:0)[rac];;1237.622;C65H122O17P2
HMDB0086793;CL(i-12:0/i-13:0/i-18:0/a-13:0)[rac];;1241.654;C65H126O17P2
HMDB0086794;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-14:0)[rac];;1251.649;C66H124O17P2
HMDB0086795;CL(i-12:0/i-13:0/i-18:0/i-14:0);;1255.681;C66H128O17P2
HMDB0086796;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-14:0);;1251.649;C66H124O17P2
HMDB0086797;CL(i-12:0/a-13:0/i-18:0/i-14:0)[rac];;1255.681;C66H128O17P2
HMDB0086798;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-15:0)[rac];;1265.676;C67H126O17P2
HMDB0086799;CL(i-12:0/a-13:0/i-18:0/a-15:0)[rac];;1269.708;C67H130O17P2
HMDB0086800;CL(i-12:0/i-13:0/i-18:0/i-15:0);;1269.708;C67H130O17P2
HMDB0086801;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-15:0);;1265.676;C67H126O17P2
HMDB0086802;CL(i-12:0/i-13:0/18:2(9Z,11Z)/a-15:0)[rac];;1265.676;C67H126O17P2
HMDB0086803;CL(i-12:0/a-13:0/i-18:0/i-15:0)[rac];;1269.708;C67H130O17P2
HMDB0086804;CL(i-12:0/a-13:0/18:2(9Z,11Z)/a-15:0)[rac];;1265.676;C67H126O17P2
HMDB0086805;CL(i-12:0/i-13:0/i-18:0/a-15:0)[rac];;1269.708;C67H130O17P2
HMDB0086806;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-16:0)[rac];;1279.703;C68H128O17P2
HMDB0086807;CL(i-12:0/i-13:0/i-18:0/i-16:0);;1283.735;C68H132O17P2
HMDB0086808;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-16:0);;1279.703;C68H128O17P2
HMDB0086809;CL(i-12:0/a-13:0/i-18:0/i-16:0)[rac];;1283.735;C68H132O17P2
HMDB0086810;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-17:0)[rac];;1293.73;C69H130O17P2
HMDB0086811;CL(i-12:0/a-13:0/i-18:0/a-17:0)[rac];;1297.762;C69H134O17P2
HMDB0086812;CL(i-12:0/i-13:0/i-18:0/i-17:0);;1297.762;C69H134O17P2
HMDB0086813;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-17:0);;1293.73;C69H130O17P2
HMDB0086814;CL(i-12:0/i-13:0/18:2(9Z,11Z)/a-17:0)[rac];;1293.73;C69H130O17P2
HMDB0086815;CL(i-12:0/a-13:0/i-18:0/i-17:0)[rac];;1297.762;C69H134O17P2
HMDB0086816;CL(i-12:0/a-13:0/18:2(9Z,11Z)/a-17:0)[rac];;1293.73;C69H130O17P2
HMDB0086817;CL(i-12:0/i-13:0/i-18:0/a-17:0)[rac];;1297.762;C69H134O17P2
HMDB0086818;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-18:0)[rac];;1307.757;C70H132O17P2
HMDB0086819;CL(i-12:0/i-13:0/i-18:0/18:2(9Z,11Z));;1307.757;C70H132O17P2
HMDB0086820;CL(i-12:0/a-13:0/i-18:0/18:2(9Z,11Z))[rac];;1307.757;C70H132O17P2
HMDB0086821;CL(i-12:0/i-13:0/i-18:0/i-18:0);;1311.789;C70H136O17P2
HMDB0086822;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-18:0);;1307.757;C70H132O17P2
HMDB0086823;CL(i-12:0/i-13:0/18:2(9Z,11Z)/18:2(9Z,11Z));;1303.725;C70H128O17P2
HMDB0086824;CL(i-12:0/a-13:0/18:2(9Z,11Z)/18:2(9Z,11Z))[rac];;1303.725;C70H128O17P2
HMDB0086825;CL(i-12:0/a-13:0/i-18:0/i-18:0)[rac];;1311.789;C70H136O17P2
HMDB0086826;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-19:0)[rac];;1321.784;C71H134O17P2
HMDB0086827;CL(i-12:0/i-13:0/i-18:0/i-19:0);;1325.816;C71H138O17P2
HMDB0086828;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-19:0);;1321.784;C71H134O17P2
HMDB0086829;CL(i-12:0/a-13:0/i-18:0/i-19:0)[rac];;1325.816;C71H138O17P2
HMDB0086830;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-20:0)[rac];;1335.811;C72H136O17P2
HMDB0086831;CL(i-12:0/i-13:0/i-18:0/i-20:0);;1339.843;C72H140O17P2
HMDB0086832;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-20:0);;1335.811;C72H136O17P2
HMDB0086833;CL(i-12:0/a-13:0/i-18:0/i-20:0)[rac];;1339.843;C72H140O17P2
HMDB0086834;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-21:0)[rac];;1349.838;C73H138O17P2
HMDB0086835;CL(i-12:0/a-13:0/i-18:0/a-21:0)[rac];;1353.87;C73H142O17P2
HMDB0086836;CL(i-12:0/i-13:0/i-18:0/i-21:0);;1353.87;C73H142O17P2
HMDB0086837;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-21:0);;1349.838;C73H138O17P2
HMDB0086838;CL(i-12:0/i-13:0/18:2(9Z,11Z)/a-21:0)[rac];;1349.838;C73H138O17P2
HMDB0086839;CL(i-12:0/a-13:0/i-18:0/i-21:0)[rac];;1353.87;C73H142O17P2
HMDB0086840;CL(i-12:0/a-13:0/18:2(9Z,11Z)/a-21:0)[rac];;1349.838;C73H138O17P2
HMDB0086841;CL(i-12:0/i-13:0/i-18:0/a-21:0)[rac];;1353.87;C73H142O17P2
HMDB0086842;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-22:0)[rac];;1363.865;C74H140O17P2
HMDB0086843;CL(i-12:0/i-13:0/i-18:0/i-22:0);;1367.897;C74H144O17P2
HMDB0086844;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-22:0);;1363.865;C74H140O17P2
